,the_geom,segmentid,Shape_Le_1,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit
2702,"MULTILINESTRING ((-73.98353500815946 40.72605278354559, -73.98309064141175 40.72666581356257))",33102,255.055184174,1,AV A,E HOUSTON ST,E 14 ST,ON,II,II,2,2,Standard,Standard
2703,"MULTILINESTRING ((-73.99075396816592 40.73483915434294, -73.99071523215474 40.73485421762398, -73.99067682634886 40.73486976269041, -73.9906387602193 40.7348857832398, -73.99060104560422 40.73490227657187, -73.99056368960667 40.73491923818507, -73.99052670524921 40.73493666267771, -73.99049010081869 40.73495454644885, -73.99045388697003 40.73497288319612, -73.99041807199036 40.73499166931865, -73.99038266771848 40.73501089851411, -73.99034768125763 40.73503056718151, -73.99031312444673 40.7350506690187, -73.99027900438932 40.73507119952405, -73.99024533174061 40.7350921514948))",32956,168.790867578,1,UNION SQ S,E 15 ST,UNION SQ E,ON,I,I,L,1,,Protected Path
2705,"MULTILINESTRING ((-73.98781645096979 40.735292280435495, -73.98621267201176 40.734617691221494))",32968,507.890865385,1,E 16 ST,UNION SQ E,RUTHERFORD PL,ON,II,II,R,1,Standard,
2716,"MULTILINESTRING ((-73.98864445146414 40.74281411403359, -73.98915469864507 40.743029960681106))",33017,161.788570066,1,W 25 ST,BROADWAY,5 AVE,ON,I,I,L,1,,Protected Path
2719,"MULTILINESTRING ((-73.98493605469768 40.717167243429365, -73.98423345967251 40.71695629491626))",33039,209.381446373,1,DELANCEY ST,MANGIN ST,CLINTON ST,ON,III,III,R,1,Sharrows,
2720,"MULTILINESTRING ((-73.9848393522215 40.71767404679409, -73.98399541523823 40.717414423586085))",33042,252.344469226,1,DELANCEY ST N,MANGIN ST,CLINTON ST,ON,III,III,L,1,,Sharrows
2767,"MULTILINESTRING ((-73.98335962226184 40.741412165768146, -73.98228834739831 40.7409554029688))",33185,340.322636771,1,E 26 ST,MADISON AV,3 AV,ON,I,I,R,1,Protected Path,
2790,"MULTILINESTRING ((-73.98040998065063 40.74258716063585, -73.97816815287895 40.7416425128641))",33310,710.188665017,1,E 29 ST,1 AV,3 AV,ON,I,I,L,1,,Protected Path
2811,"MULTILINESTRING ((-73.99859426118746 40.750240835486096, -74.00142970744427 40.75144572103473))",33557,899.940917173,1,W 29 ST,10 AV,11 Av,ON,I,I,R,1,Protected Path,
2813,"MULTILINESTRING ((-73.9981201962495 40.75090289866808, -73.99930521215762 40.75137641588183))",33559,370.894870889,1,W 30 ST,DYER AV,9AV,ON,III,III,L,1,,Sharrows
2823,"MULTILINESTRING ((-73.99426258645337 40.74600398153974, -73.99709902930722 40.74720510230461))",33649,899.557448882,1,W 26 ST,12 AVE,BROADWAY,ON,I,I,L,1,,Protected Path
2863,"MULTILINESTRING ((-73.99072636359222 40.755950405478075, -73.9935619472168 40.75714385818575))",33829,897.891096396,1,W 40 ST,9 AV,8 AV,ON,III,III,L,1,,Sharrows
2869,"MULTILINESTRING ((-73.99168501965677 40.759728915488544, -73.99452593263233 40.760927044816334))",33845,899.969387359,1,W 44 ST,JOE DIMAGGIO HWY,9 AV,ON,II,II,L,1,,Standard
2898,"MULTILINESTRING ((-73.98817709950141 40.74828882263136, -73.9887140510859 40.74851327363088))",33908,169.770675187,1,W 32 ST,6 AV,BROADWAY,ON,I,I,L,1,,Protected Path
2909,"MULTILINESTRING ((-73.9892972754426 40.75790663694043, -73.99213711916046 40.7591047218482))",33954,899.721272226,1,W 43 ST,8TH AV,10TH AV,ON,II,II,R,1,Standard,
2923,"MULTILINESTRING ((-73.98803275442701 40.764737199312584, -73.99087599476876 40.76593422032097))",33979,900.285955769,1,W 52 ST,12 AV,BROADWAY,ON,I,I,L,1,,Protected Path
2927,"MULTILINESTRING ((-73.98712184080856 40.76598915279266, -73.98996382702606 40.76718747466105))",33985,900.198901678,1,W 54 ST,11 AV,midblock bet 9 AND 8 AV,ON,II,II,L,1,,Standard
2929,"MULTILINESTRING ((-73.98665975610918 40.766615985960115, -73.98950498222062 40.76781538200268))",33987,901.167086742,1,W 55 ST,9 AV,12 AV,ON,I,I,R,1,Protected Path,
2935,"MULTILINESTRING ((-73.98761512117844 40.770415443110984, -73.98714552223245 40.77105403757962))",33998,266.552328082,1,AMSTERDAM,W 59 ST,W 70 ST,ON,I,I,R,1,Protected Path,
2937,"MULTILINESTRING ((-73.98639326575149 40.74592119451798, -73.98479315319828 40.74524398454161))",34014,507.403828404,1,E 30 ST,6 AV,MADISON AV,ON,II,II,R,1,Standard,
2943,"MULTILINESTRING ((-73.98640436719185 40.75580802892458, -73.98694873854542 40.75603590259463))",34053,172.158133113,1,W 42 ST,7 AV,BROADWAY,ON,III,III,L,1,,Sharrows
2959,"MULTILINESTRING ((-73.98461925246448 40.75919941062356, -73.9851038294031 40.759404350842615))",34080,153.611937496,1,W 47 ST,BROADWAY,7 AVE,ON,I,I,L,1,,Protected Path
2961,"MULTILINESTRING ((-73.98483618068961 40.76011558676982, -73.98701514525685 40.761037367243745))",34082,690.768844278,1,W 48 ST,8 AV,6 AV,ON,III,III,L,1,,Sharrows
2966,"MULTILINESTRING ((-73.98362866795605 40.76206478958801, -73.9856467781517 40.762914873651106))",34092,639.115936303,1,W 51 ST,BROADWAY,8 AV,ON,III,III,R,1,Sharrows,
2982,"MULTILINESTRING ((-73.98476369205513 40.76922640086744, -73.98431491272626 40.76984818327382))",34121,258.400985878,1,COLUMBUS AVE,65 ST,59 ST,ON,I,I,L,1,,Protected Path
2987,"MULTILINESTRING ((-73.98182244341933 40.752197127428474, -73.98022089972883 40.751521979525464))",34175,507.349277895,1,E 40 ST,5 AV,MADISON AV,ON,II,II,R,1,Standard,
2990,"MULTILINESTRING ((-73.98039560260892 40.754154808673704, -73.97878321468814 40.753480214555))",34191,509.8704142,1,E 43 ST,VANDERBILT AV,5 AV,ON,II,II,L,1,,Standard
2992,"MULTILINESTRING ((-73.97993647203734 40.75478254308145, -73.9783321534231 40.75410003047545))",34194,509.311439096,1,E 44 ST,5 AV,VANDERBILT AV,ON,II,II,R,1,Standard,
3014,"MULTILINESTRING ((-73.9817894683571 40.76771386341497, -73.98181260575058 40.767710434349716, -73.9818359347824 40.76770786799257, -73.98185940096859 40.76770616973774, -73.98188294864124 40.76770534407907, -73.9819065209485 40.76770539280847, -73.9819300610393 40.76770631591705, -73.98195351561604 40.76770811159546, -73.9819768254604 40.767710773530986, -73.98199993727536 40.76771429811334, -73.98202279539673 40.767718675428426, -73.98204534652939 40.76772389466209, -73.98206753382478 40.76772994499954, -73.98208930754218 40.7677368111247, -73.98211061557231 40.767744475920225))",34242,91.4128603384,1,COLUMBUS CIR,8 AV,CENTRAL PARK W,ON,I,I,L,1,,Protected Path
3016,"MULTILINESTRING ((-73.98204341618842 40.76840821046557, -73.98203648927493 40.768409523220505, -73.98202954105862 40.76841077203594, -73.9820225727242 40.768411956011526, -73.98201558664036 40.76841307604824, -73.9820085839915 40.76841413214615, -73.98200156359368 40.76841512250408, -73.98199452899996 40.768416048023134, -73.98195616536937 40.76841993129636, -73.98191754997367 40.768421886539144, -73.98187884745501 40.768421903871655, -73.98184022837451 40.768419985121646, -73.9818018597385 40.76841613751964, -73.98176390618192 40.76841037730096, -73.98172653470569 40.76840273060716, -73.9817197222951 40.76840111762513, -73.98171293714377 40.76839944251227, -73.9817061780679 40.76839770346739, -73.98169944743553 40.768395903192385, -73.98169274643143 40.76839404078697, -73.98168607624005 40.76839211625132, -73.98167943686083 40.76839013138641))",34251,102.718973516,1,COLUMBUS CIRCLE,CENTRAL PARK W,8 AV,ON,I,I,L,1,,Protected Path
3018,"MULTILINESTRING ((-73.98167943686083 40.76839013138641, -73.98102290111753 40.76927283373321))",34257,369.455057854,1,CENTRAL PARK W,COLUMBUS CIR,W 62 ST,ON,I,I,R,1,Protected Path,
3031,"MULTILINESTRING ((-73.98447609361983 40.7798080439891, -73.98397827989106 40.78048957479216))",34406,284.012142998,1,WEST END AV,W 72 ST,W 107 ST,ON,III,III,2,2,Bike-Friendly Parking,Bike-Friendly Parking
3033,"MULTILINESTRING ((-73.98390071704537 40.78377421593506, -73.98329701193168 40.7843523861062))",34419,268.929255887,1,RIVERSIDE DR,W 77 ST,W 78 ST,ON,III,III,R,1,Sharrows,
3035,"MULTILINESTRING ((-73.9847105662892 40.785595625293254, -73.98472459320081 40.78561279700983, -73.98473738905109 40.78563051516584, -73.98474891712397 40.78564872932882, -73.9847591442582 40.785667386365134, -73.98476804203096 40.78568643404229, -73.98477558439008 40.78570581562559, -73.98478175002145 40.78572547708248, -73.98478651998126 40.785745360778485, -73.98478988124896 40.78576541088105, -73.98479182435868 40.78578556885647, -73.98479234458338 40.78580577707212, -73.98479143838088 40.78582597699495, -73.98478911050202 40.78584611099349, -73.98478536569743 40.78586612233673))",34427,103.095175236,1,W 79 ST,W 79 ST,79 ST BOAT BASIN,ON,II,II,L,1,,Curbside
3041,"MULTILINESTRING ((-73.98207933874602 40.772990712320166, -73.98157265967755 40.77360207387448))",34468,263.26337911,1,COLUMBUS AV,W 67 ST,W 65 ST,ON,II,II,L,1,,Standard
3050,"MULTILINESTRING ((-73.9816212650341 40.778608083210344, -73.98113393101792 40.779291584629235))",34500,283.246779494,1,AMSTERDAM AVE,72 ST,110 ST,ON,I,I,R,1,Protected Path,
3077,"MULTILINESTRING ((-73.97511852981941 40.718753040326966, -73.97499481714024 40.71874612462337))",34676,34.3859418769,1,EAST HOUSTON ST,FDR DR,FDR DR NB EN,OFF,I,I,R,1,Protected Path,
3078,"MULTILINESTRING ((-73.97298336411723 40.724170402965804, -73.9728249216701 40.72443065697498))",34709,104.495307689,1,EAST 10 ST PED OVPS,EAST RIVER ESPLANADE,EAST 10 ST,OFF,L,L,2,0,,
3119,"MULTILINESTRING ((-73.95934652439702 40.722533835096066, -73.95805637715661 40.72173263922556))",34970,461.620854489,3,N 11 ST,KENT AV,UNION AV,ON,II,II,R,1,Standard,
3121,"MULTILINESTRING ((-73.95874941582805 40.723084302271936, -73.95746107439905 40.72228566599036))",34972,460.64130357,3,N 12 ST,UNION AV,KENT AV,ON,II,II,L,1,,Standard
3126,"MULTILINESTRING ((-73.95862762121924 40.726191176698535, -73.95735338918644 40.72629966439132))",34985,355.385835496,3,QUAY ST,FRANKLIN,WEST ST,ON,I,I,2,2,Protected Path,Protected Path
3127,"MULTILINESTRING ((-73.9577198918855 40.7242849570868, -73.95627311545681 40.72338987593998))",34990,516.877078064,3,N 14 ST,FRANKLIN ST,BERRY ST,ON,I,I,R,1,Protected Path,
3128,"MULTILINESTRING ((-73.95877726767871 40.72689048463254, -73.9571841137058 40.72706854711759))",34996,446.312307224,3,CALYER ST,WEST ST,FRANKLIN ST,ON,III,III,L,1,,Sharrows
3129,"MULTILINESTRING ((-73.9592435570336 40.729721751246245, -73.9575942285442 40.729878744672426))",35007,460.687279339,3,GREENPOINT AVE,MANHATTAN AV,WEST ST,ON,II,II,2,2,Standard,Standard
3130,"MULTILINESTRING ((-73.95771090957193 40.73058907272498, -73.95782734490538 40.731298752132915))",35010,260.564400746,3,FRANKLIN ST,COMMERCIAL ST,QUAY ST,ON,III,III,2,2,Sharrows,Sharrows
3133,"MULTILINESTRING ((-73.95994474620895 40.733978790368354, -73.95829230641904 40.73413497319336))",35021,461.477404516,3,FREEMAN ST,MC GUINESS BLVD,WEST ST,ON,II,II,L,1,,Standard
3134,"MULTILINESTRING ((-73.96004071545075 40.73467285427093, -73.95840811636843 40.7348441471507))",35023,456.736096053,3,EAGLE ST,WEST ST,MC GUINESS BLVD,ON,II,II,R,1,Standard,
3142,"MULTILINESTRING ((-73.95851543822737 40.73627777733817, -73.95690163692515 40.737152144149846))",35041,549.085166493,3,COMMERCIAL ST,FRANKLIN ST,MANHATTAN AV,ON,III,III,2,2,Sharrows,Sharrows
3147,"MULTILINESTRING ((-73.9586296872103 40.74286477702518, -73.95666935982429 40.742486869814435))",35063,560.39041524,4,51 AV,VERNON BLVD,2 ST,ON,II,II,L,1,,Standard
3170,"MULTILINESTRING ((-73.9547766295754 40.722459503828695, -73.95418330342692 40.72263642739407))",35106,176.643088722,3,NASSAU AV,N 14 ST,GUERNSEY ST,ON,II,II,R,1,Standard,
3171,"MULTILINESTRING ((-73.95451201861957 40.723225201871756, -73.9551381851293 40.72432858955156))",35107,437.865666142,3,BANKER ST,NASSAU AV,FRANKLIN ST,ON,II,II,R,1,Standard,
3195,"MULTILINESTRING ((-73.95690163692515 40.737152144149846, -73.95542325301464 40.7372850636469))",35166,412.550780902,3,BOX ST,COMMERCIAL ST,MANHATTAN AV,ON,III,III,R,1,Sharrows,
3203,"MULTILINESTRING ((-73.95547193196913 40.737996888758694, -73.95315257805849 40.73822075333358))",35178,647.898915665,3,ASH ST,MANHATTAN AV,MC GUINNESS BLVD,ON,III,III,L,1,,Sharrows
3207,"MULTILINESTRING ((-73.95410878397078 40.74272854662759, -73.95390012498001 40.742687238084876))",35217,59.7466648197,4,50 AV,VERNON BLVD,VERNON BLVD,ON,III,III,R,1,Sharrows,
3228,"MULTILINESTRING ((-73.95274904522084 40.73752239788117, -73.95115741804725 40.73700917384678))",35322,479.077617438,3,PAIDGE AV,PROVOST ST,MC GUINNESS BLVD,ON,III,III,2,2,Sharrows,Sharrows
3229,"MULTILINESTRING ((-73.95274904522084 40.73752239788117, -73.95281404612538 40.73816630551128))",35323,235.286440619,3,MC GUINNESS BLVD,BOX ST,ASH ST,ON,III,III,R,1,Sharrows,
3232,"MULTILINESTRING ((-73.95380365553964 40.74193469969593, -73.95275667291885 40.7424764703018))",35348,350.902732834,4,JACKSON AV,49 AV,51 AV,ON,II,II,2,2,Standard,Standard
3233,"MULTILINESTRING ((-73.95390012498001 40.742687238084876, -73.95412365431778 40.74198974953636))",35350,261.557411152,4,VERNON BLVD,45 RD,51 AV,ON,III,III,L,1,,Sharrows
3235,"MULTILINESTRING ((-73.95189452722106 40.74293762327944, -73.9516806330252 40.74267153297012))",35382,113.628253257,4,11 ST,50 AV,JACKSON AVE,ON,III,III,R,1,Sharrows,
3239,"MULTILINESTRING ((-73.95115913729438 40.74288448102497, -73.95046627247733 40.74275781696681))",35405,197.46288635,4,49 AV,11 ST,11 PL,ON,III,III,R,1,Sharrows,
3241,"MULTILINESTRING ((-73.95046627247733 40.74275781696681, -73.95069952033009 40.742063707132))",35413,261.015395337,4,11 PLACE,49 Ave,50 Ave,ON,II,II,R,1,Standard,
3261,"MULTILINESTRING ((-73.94933789900428 40.73138716391614, -73.94945107658434 40.73209345630163))",35514,259.229129468,3,PROVOST ST,PAIDGE AV,GREENPOINT AV,ON,III,III,2,2,Sharrows,Sharrows
3289,"MULTILINESTRING ((-73.94642134424615 40.74198155214323, -73.94419561638946 40.742882145966))",35720,698.606428941,4,SKILLMAN AV,QUEENS BLVD,49 AV,ON,III,III,2,2,Sharrows,Sharrows
3298,"MULTILINESTRING ((-73.97811607124794 40.75728442745141, -73.97650358460967 40.75660605742148))",35837,510.540600749,1,E 48 ST,5 AV,MADISON AV,ON,II,II,R,1,Standard,
3300,"MULTILINESTRING ((-73.97674467649125 40.75916473813565, -73.97513406346992 40.75848714915489))",35847,509.937656858,1,E 51 ST,5 AV,1 AV,ON,III,III,L,1,,Sharrows
3303,"MULTILINESTRING ((-73.9762887014338 40.75978674899684, -73.97467949866774 40.75911348724407))",35855,508.830312899,1,E 52 ST,5 AV,1 AV,ON,I,I,R,1,Protected Path,
3310,"MULTILINESTRING ((-73.976575007888 40.76623555835916, -73.97667725346143 40.766285061789524, -73.97677418984787 40.76635067137096, -73.9768597376135 40.7664323246613, -73.97692756915112 40.76652824462473, -73.97697211781828 40.766634792144124, -73.97698971247583 40.76674680302409, -73.97697942291904 40.76685833646737, -73.97694319695675 40.766963706175176, -73.97688535084848 40.767058378952875, -73.97681146883109 40.767139500395075, -73.97672741768237 40.76720591270833))",35873,417.046533082,1,C P 6 AV APPR,CENTRAL PARK S,CENTER DR,ON,I,I,R,1,Greenway,
3317,"MULTILINESTRING ((-73.97212474197063 40.7456813379809, -73.97092847893572 40.74518276853017))",35903,377.98194064,1,E 37 ST,F D R DR,1 AV,ON,I,I,2,2,Protected Path,Protected Path
3328,"MULTILINESTRING ((-73.97537360649405 40.76103990639015, -73.97376587587851 40.7603641640351))",35995,508.902326949,1,E 54 ST,5 AV,MADISON AV,ON,II,II,R,1,Standard,
3330,"MULTILINESTRING ((-73.97491476261229 40.76166726993646, -73.9733088700816 40.76098886517997))",35997,508.923475959,1,E 55 ST,PARK AV,5 AV,ON,I,I,L,1,,Protected Path
3333,"MULTILINESTRING ((-73.97286661453909 40.769015397428994, -73.97282638806526 40.769115125014686, -73.97276587071286 40.76921196617932, -73.97268573897881 40.769302404585474, -73.97258806340952 40.76938311242434, -73.97247617579569 40.769451341210605, -73.97235426396192 40.769505239572595, -73.97222689080981 40.76954400082711))",36042,273.547557009,1,C P GRAND ARMY PLZ APPR,GRAND ARMY PLZ,EAST DR,OFF,I,I,2,2,Greenway,Greenway
3340,"MULTILINESTRING ((-73.9627039262436 40.76973878320496, -73.96110997011142 40.76906440765153))",36437,505.273482092,1,E 71 ST,YORK AVE,5 AVE,ON,II,II,L,1,,Standard
3378,"MULTILINESTRING ((-73.96162229952468 40.75605890316112, -73.96209989313941 40.75545419997565))",36352,256.993323006,1,SUTTON PL S,E 54 ST,E 59 ST,ON,III,III,L,1,,Signed Route
3381,"MULTILINESTRING ((-73.96341112129888 40.75763731343667, -73.96292448634885 40.75830898861195))",36362,279.392595161,1,1 AVE,56 ST,59 ST,ON,I,I,R,1,Protected Path,
3385,"MULTILINESTRING ((-73.96431353643992 40.76059923091431, -73.96355618923229 40.76028081850211))",36371,239.743720716,1,E 59 ST,2 AV,QBB on-ramp,ON,II,"III,II",2,2,Sharrows,Curbside
3386,"MULTILINESTRING ((-73.96388310463935 40.76123328615687, -73.96342391425931 40.76185858670923))",36375,260.926194349,1,2 AVE,E 64 ST,E 59 ST,ON,I,I,L,1,,Protected Path
3395,"MULTILINESTRING ((-73.96316179257971 40.769112288139915, -73.96154785605428 40.76843158164727))",36435,511.235250236,1,E 70 ST,5 AVE,1 AVE,ON,II,II,R,1,Standard,
3398,"MULTILINESTRING ((-73.9572729802213 40.75285723397401, -73.95727870378384 40.75285270295118, -73.95728482620554 40.752848484551464, -73.95729131786987 40.75284459857491, -73.95729814916086 40.75284106392115, -73.95730528572652 40.75283789858743, -73.9573126932172 40.7528351169691, -73.95732033728386 40.752832732561, -73.95732818002611 40.75283075705557, -73.95733618473014 40.752829198543736, -73.9573443111284 40.7528280669161, -73.95735252132579 40.75282736576067, -73.95736077624254 40.75282709956543, -73.95736903561689 40.75282726921605, -73.95737725918835 40.75282787379707))",36484,32.0470145916,1,EAST LOOP RD,NORTH LOOP RD,SOUTH LOOP RD,ON,II,II,2,2,Buffered,Buffered
3399,"MULTILINESTRING ((-73.96115734259614 40.75668759713554, -73.96162229952468 40.75605890316112))",36485,262.790402407,1,SUTTON PL,E 54 ST,E 59 ST,ON,III,III,2,2,Signed Route,Signed Route
3403,"MULTILINESTRING ((-73.95926369617182 40.75928466502079, -73.9585021561804 40.758934700154214))",36516,246.509385909,1,EAST 60 ST PED OVPS,SUTTON PL,FDR DR GREENWAY,OFF,I,I,2,2,Greenway,Greenway
3404,"MULTILINESTRING ((-73.95926369617182 40.75928466502079, -73.95880955467071 40.75991278574473))",36517,261.14881285,1,YORK AV,E 59 ST,E 63 ST,ON,III,III,2,2,Signed Route,Signed Route
3424,"MULTILINESTRING ((-73.95631807849647 40.75610721528901, -73.95675224237883 40.755630554337664))",36613,211.251540003,1,WEST LOOP RD,NORTH LOOP RD,SOUTH LOOP RD,ON,II,II,2,2,Buffered,Buffered
3427,"MULTILINESTRING ((-73.95424726682953 40.75575531520764, -73.95557381534145 40.75648410819105))",36621,453.399479696,1,NORTH LOOP RD,EAST LOOP RD,EAST MAIN ST,ON,II,II,2,2,Buffered,Buffered
3429,"MULTILINESTRING ((-73.95482181308175 40.757844073781826, -73.95471044572561 40.75803714336082, -73.95458168466786 40.75822493891679, -73.95443625309993 40.75840612612953, -73.95427506368434 40.75857942748217, -73.95409927771277 40.75874370783516, -73.95391024592368 40.75889793388311))",36632,462.614374019,1,WEST RD,ROOSEVELT ISLAND GREENWAY,ROOSEVELT ISLAND GREENWAY,ON,III,III,2,2,Signed Route,Signed Route
3454,"MULTILINESTRING ((-73.9522134128732 40.74905556384859, -73.95163951399869 40.7489344673803))",36717,165.021313848,4,44 DR,VERNON BLVD,10 ST,ON,II,II,2,2,Standard,Standard
3459,"MULTILINESTRING ((-73.95163951399869 40.7489344673803, -73.95223238644651 40.74825666056198))",36726,296.594211574,4,10 STREET,Vernon Blvd,44 DR,ON,III,III,L,1,,Sharrows
3464,"MULTILINESTRING ((-73.95208419482083 40.76532508823085, -73.95198794481409 40.76527961862972))",36789,31.3895622252,1,EAST 71 ST PED OVPS,FDR DR SB EN,FDR DR GREENWAY,OFF,I,I,2,2,Greenway,Greenway
3465,"MULTILINESTRING ((-73.95139828737182 40.77007254589262, -73.94993561070845 40.76946909556224))",36809,460.957491723,1,E 77 ST,YORK AVE,CHEROKEE PL,ON,II,II,R,1,Standard,
3466,"MULTILINESTRING ((-73.95139828737182 40.77007254589262, -73.95093257388677 40.77070866222955))",36810,265.239864855,1,YORK AVE,E 78 ST,E 77 ST,ON,III,III,L,1,,Sharrows
3469,"MULTILINESTRING ((-73.94941556000546 40.749297676882506, -73.94962814468175 40.74854000303687))",36843,282.259288499,4,11 STREET,JACKSON AVE,QUEENS PLAZA SOUTH,ON,III,III,2,2,Sharrows,Sharrows
3474,"MULTILINESTRING ((-73.94993561070845 40.76946909556224, -73.94945457567087 40.77008525317657))",36919,261.051274593,1,CHEROKEE PL,E 77 ST,E 78 ST,ON,III,III,R,1,Sharrows,
3476,"MULTILINESTRING ((-73.94478718803502 40.748400817223924, -73.9450562851993 40.74766389042058))",36959,278.647153406,4,23 ST,44 DR,QUEENS PLAZA S,ON,III,III,2,2,Sharrows,Sharrows
3480,"MULTILINESTRING ((-73.94383536787049 40.75253012209554, -73.94271928050341 40.75203695166603))",37011,357.638719753,4,QUEENS PLZ N,QUEENS BLVD,21 ST,OFF,I,I,2,2,Greenway,Greenway
3496,"MULTILINESTRING ((-73.97641669631608 40.7806505575587, -73.97928494818169 40.781838994119255))",37094,904.686491423,1,W 77 ST,CENTRAL PARK W,RIVERSIDE DR,ON,II,II,R,1,Standard,
3498,"MULTILINESTRING ((-73.97599367032196 40.78127303307857, -73.97882284584001 40.78246493800718))",37096,895.804979275,1,W 78 ST,RIVERSIDE DR,COLUMBUS AV,ON,II,II,L,1,,Standard
3506,"MULTILINESTRING ((-73.94942155728252 40.78105893686004, -73.947049218817 40.78006434640019))",37879,750.311840593,1,E 91 ST,YORK AV,2 AV,ON,II,II,L,1,,Standard
3512,"MULTILINESTRING ((-73.97557330096087 40.7760627795743, -73.97595517399277 40.776219754447624))",37175,120.237682599,1,C P W 72 APPR,CENTRAL PARK W,CPW W 72 St APPROACH,ON,I,I,2,2,Greenway,Greenway
3514,"MULTILINESTRING ((-73.97370134553101 40.77428065998229, -73.97380437298341 40.77437700122828, -73.97380446771105 40.77437709130009, -73.97380456363028 40.77437716336212, -73.97392439150812 40.77446495354117, -73.97392445190555 40.774464989574966, -73.9740590686402 40.77454179682488, -73.97405918706977 40.77454185988674, -73.97405930432181 40.77454190493827, -73.9742059139889 40.77460567543521, -73.97420600873485 40.77460572048155, -73.97420611532971 40.77460575652552, -73.97436138986231 40.77465505768434, -73.97436149645733 40.77465509372817, -73.97436160424382 40.77465511176221, -73.97452177701699 40.77468914126793, -73.97452192980931 40.77468917732187, -73.97452209563856 40.77468919536856, -73.97468354186499 40.77470789837432))",37178,323.026171764,1,TER DR,EAST DR,WEST DR,ON,I,I,2,2,Greenway,Greenway
3580,"MULTILINESTRING ((-73.96422820126546 40.77631030891719, -73.96262273736401 40.77563801539203))",37465,507.656446994,1,E 78 ST,5 AVE,YORK AVE,ON,II,II,R,1,Standard,
3593,"MULTILINESTRING ((-73.95856810052638 40.7840834437771, -73.9569452720619 40.783417299023974))",37591,510.760015487,1,E 90 ST,EAST END AV,5 AV,ON,II,II,R,1,Standard,
3606,"MULTILINESTRING ((-73.95770725357676 40.79360911709139, -73.9574668984234 40.79364951513485, -73.95722996779638 40.79370756375105, -73.95699979123603 40.793782958933264, -73.95677961568681 40.79387490679743, -73.9565724633085 40.79398215054016, -73.95638096556135 40.794103033406124, -73.95620723282327 40.794235575174184))",37718,482.545023405,1,C P 102 CENTER DR,WEST DR,EAST DR,OFF,I,I,2,2,Greenway,Greenway
3632,"MULTILINESTRING ((-73.95111102412449 40.79428503485571, -73.94950835578345 40.79360570989136))",37837,508.116748709,1,EAST 106 STREET,5 AVE,1 AVE,ON,II,II,2,2,Standard,Standard
3651,"MULTILINESTRING ((-73.94942287852531 40.7966063842881, -73.94939666592697 40.7965963565241, -73.94936964776143 40.796587650334025, -73.94934194012133 40.796580304489765, -73.94931365910539 40.7965743496589, -73.94928492792646 40.796569810208744, -73.9492558674302 40.7965667069036, -73.94922660202239 40.79656505330557, -73.94919725611499 40.79656485487231, -73.9491679576775 40.79656611346117, -73.94913882876014 40.79656882372311, -73.94910999497297 40.796572974007184, -73.94908157956098 40.79657854635802, -73.94905370458909 40.79658551651644, -73.94902648738635 40.796593855718655, -73.9490000441016 40.79660352889711, -73.94897448970538 40.79661449287917, -73.9489499320608 40.79662670178774, -73.94892647548134 40.796640103440694, -73.94890422072937 40.7966546411518, -73.94888326264778 40.79667025192891, -73.94886369134262 40.79668686917564, -73.94884558981292 40.7967044235911))",37954,178.757244397,1,DUKE ELLINGTON CR,E 110 ST,W 110 ST,ON,II,II,R,1,Curbside,
3652,"MULTILINESTRING ((-73.84137158875714 40.657230055486515, -73.84095416106884 40.655556775226835))",50508,620.527187123,4,91 ST,165 AV,157 AV,ON,II,II,R,1,Standard,
3655,"MULTILINESTRING ((-73.94884558981292 40.7967044235911, -73.94764528156958 40.79615631861811))",37962,387.72174088,1,110 ST,5 AVE,MADISON AVE,ON,II,II,R,1,Curbside,
3656,"MULTILINESTRING ((-73.94878702865125 40.79748283818328, -73.94717575918467 40.796797149517246))",37963,511.308139132,1,111 ST,5 AVE,UNNAMED ST,ON,II,II,L,1,,Standard
3673,"MULTILINESTRING ((-73.9680484937181 40.80468369993813, -73.96811288649482 40.80474225017316, -73.96816064704423 40.80481265534484, -73.96818675275901 40.80489038457999, -73.96818926284222 40.80496956610722, -73.96816968503587 40.80504440923851))",38182,142.544095506,1,CATHEDRAL PKWY,RIVERSIDE DRIVE,RIVERSIDE DRIVE,ON,I,I,2,2,Sidewalk,Sidewalk
3679,"MULTILINESTRING ((-73.96147779997958 40.79865415635227, -73.96286668269858 40.799233703490046))",38230,438.696069453,1,W 106 ST,RIVERSIDE DRIVE,CENTRAL PARK W,ON,II,II,2,2,Standard,Standard
3683,"MULTILINESTRING ((-73.96292186522653 40.804258078811195, -73.96247493565716 40.80488538000212))",38243,259.891168789,1,AMSTERDAM AV,W 111 ST,W 155 ST,ON,II,II,2,2,Standard,Standard
